geneID,Severo
ALDH7A1,0.0001338380234951
ALDH8A1,5.50113873541613e-05
ALDH9A1,0.0001208251200538
ALDOA,0.0001043661797251
ALDOB,6.98389545693818e-05
ALDOC,0.000105581400785
ALG1,5.19556676035321e-05
ALG10,4.56885660197127e-05
ALG10B,4.36054327627325e-05
ALG12,3.92663479773454e-05
ALG13,0.0001148269262578
ALG14,5.13536060412256e-05
ALG14-AS1,4.45112287809155e-05
ALG2,0.000107878322713
ALG3,4.34384010079401e-05
ALG5,8.69213309335834e-05
ALG6,4.66107554774732e-05
ALG8,9.32292061278015e-05
ALG9,8.96890589998075e-05
ALK,0.0001192177492437
ALKAL2,8.13782571241766e-05
ALKBH1,9.43007039682554e-05
ALKBH2,2.47907226353779e-05
ALKBH3,2.43288150248403e-05
