"geneID","MeanWeight"
"ANKRD13B",3.58656222675238
"ANKRD13C",5.55920834161463
"ANKRD13C-DT",4.69838691463027
"ANKRD13D",3.6357097937871
"ANKRD16",1.07333296900412
"ANKRD17",6.29069467750393
"ANKRD18A",2.95066159233201
"ANKRD18B",4.44205834294951
"ANKRD19P",3.16251035621556
"ANKRD2",2.2534044201238
"ANKRD20A1",0.995040385378766
"ANKRD20A11P",2.255273143932
"ANKRD20A12P",3.43325268372678
"ANKRD20A5P",3.27514414439436
"ANKRD22",1.1176769763862
"ANKRD23",2.61924233739917
"ANKRD24",2.81853969586177
"ANKRD26",3.97300105703786
"ANKRD26P3",2.23717098966814
"ANKRD27",4.7319869593826
"ANKRD28",6.25558296655069
"ANKRD29",2.25053119746381
"ANKRD30A",0.960606852709877
"ANKRD30B",2.28168153247476
"ANKRD30BP2",3.6019426523708
"ANKRD30BP3",2.52614310385031
"ANKRD31",0.694839904863016
"ANKRD33",0.576820796752684
"ANKRD33B",3.81357091520175
"ANKRD34A",3.12687556141214
"ANKRD34C",3.34072194003496
"ANKRD35",3.2742645477293
"ANKRD36",4.71827584047615
"ANKRD36B",5.90210494932589
"ANKRD36BP2",4.50601755593869
"ANKRD36C",1.17630270940181
"ANKRD37",2.54850725095888
"ANKRD39",1.68946822798507
"ANKRD40",5.56333729894224
"ANKRD40CL",1.21367834836902
"ANKRD42-DT",3.98357397914082
"ANKRD44",4.52033177810367
"ANKRD44-IT1",3.25099163924455
"ANKRD45",0.688824738852326
"ANKRD46",4.77281256688509
"ANKRD49",3.03756804339045
"ANKRD50",4.63044053192507
"ANKRD52",2.77861950102803
"ANKRD53",1.78693196825213
"ANKRD54",3.26022566830156
"ANKRD55",0.78252642635298
"ANKRD6",2.89556595032229
"ANKRD60",0.729794779474699
"ANKRD65",4.79405689484043
"ANKRD7",1.36726323290312
"ANKRD9",5.94832033103756
"ANKS1A",5.08910136685927
"ANKS1B",8.31374255279859
"ANKS3",1.69421708058688
"ANKS4B",2.51559882705801
"ANKS6",3.2637548126979
"ANKUB1",1.71727274962095
"ANKZF1",3.04638297394307
"ANLN",6.92435685782497
"ANO1",1.16362977114187
"ANO10",5.56988439850629
"ANO2",1.26921238298277
"ANO3",3.59014643019345
"ANO4",3.5166812905587
"ANO5",4.6176138983911
"ANO6",5.49572196097794
"ANO7",1.63756397238248
