14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
PPP1R3C	ACOT7	DLG2		GPR63		PP2D1		POU2AF3	MIAT
KDR	AXDND1	NEGR1		USP48		COA3		NANOG	KLF10
LOC101928574	SMOC2	LAMP5		SYCP2L		SLC46A3		CAMSAP1	RBM6
ATOSA	H2AC25	EXOC8		SMAD1		ADRA1A		CTAGE15	CD63
SLC6A15	SYNPO2L	SLC7A14		UBE2F		CA2		CYP2C8	FEZ2
ZNF586	CELSR1	TXNDC12		MIER1		BCL11B		KRT84	ZNF83
LRRC1	RBMXL2	TSPAN13		AGPS		ASPHD1		DSCAM	RAB11FIP2
SAR1A	TSPAN10	UBE2V1		TRA2A		PHF20		TSTD2	ROGDI
CD55	LIPC	LRFN5		HSP90AA1		SLC38A2		RBM23	LINC00320
TMEM88	LINC00836	KLHL11		LINC01018		ZNF532		EVA1C	DLGAP1-AS2
FAM95C	APOF	MTIF2		LOC100505918		SPO11		FAM81B	LOC105369228
METTL2B	ELFN1	RALA		RAB39A		ZNF792		MOB3B	NIFK-AS1
ZNF665	GIMAP1	KCNC1		SNAP23		COL24A1		KCNMB4	MRPS28
CCN2	RXFP3	ZNF658		ZNF780B		MGST2		UAP1L1	KTN1
SHB	RAB17	MTMR6		FOXF2		FAM171A1		TTC19	RPL36AL
TMEM106A	TPP1	ZNF667-AS1		PIGK		RBIS		DPH6-DT	CPT1B
DGKE	PCDHA6	JKAMP		GHR		ZNF487		SURF1	SDE2
ITGBL1	CCL1	UBE2E1		ZNF398		PITRM1		ZNF281	LOC100190986
PSEN1	DDI1	SYT1		FAM218A		ALDH3A2		CD3G	TBC1D4
ELOA-AS1	LOC440895	NCKAP1		SSX4		GPN3		THSD4-AS1	HSD17B4
HRH2	ACADL	KITLG		ATRAID		RBM22		MYO5B	HLA-DPB2
COMMD9	TPRA1	NECAB1		ZNF121		BHLHE22		TFEC	LOC401261
FREM2	DDX11-AS1	RSL24D1		SHISA3		PURG		RAB8A	ZFP28
ATG14	BST2	HOPX		FAM193B		URI1		SYPL1	BTBD18
RBM4B	LOC100129603	KPNA1		FAM47A		RPS19		KCNK17	RGCC
ZNF347	USPL1	R3HDM1		LOC340184		OR7D2		NDUFV2	PARP8
SCYL3	USP34	DACH2		SCGB3A2		HTN1		CPLANE1	TMX1
FOXM1	IFITM3	ARL6IP1		SELENOP		YARS2		NDST3	YIPF6
FLJ45513	DPM2	SEH1L		PBX3		CFLAR		ZFP3	NDUFV3
FAM216A	LINC02487	ATPAF1		OTUD4		VPS36		SLFN12	TRAF3IP2
HOMEZ	L2HGDH	LMO3		CASQ2		PSMA5		CHCHD1	ATP8B1
C5orf15	MAB21L3	TMEM158		LINC00957		VPS33B		SMLR1	PIN1
SERPINF1	TAAR3P	SCN2A		USP45		DLEU1		GP1BA	LOC101928386
DNAJC14	RB1-DT	EEIG2		ZNF57		MTREX		FHL1P1	RPL30
COIL	LOC399900	SNRNP27		ZNF492		NOP2		ASPN	DCAF17
PPARGC1A	MIR22HG	TRIP12		SH3KBP1		RC3H2		NOC3L	HEY2
TYRP1	AHCY	GPR22		UBE2D3		ZRANB1		ACTR3	SLC7A5P1
LOC101928361	UBL5	NDUFA5		LOC105369228		C1GALT1C1		DNM3OS	UTP4
COPS7A	RGS20	CREG2		TMEM273		SARS1		KLB	SHLD2
PNPO	SHANK1	PPP3CB		FANCL		H2AC6		PAK6-AS1	ZNF337
DIS3L	FRMPD1	SLC25A46		KANSL1-AS1		CTSH		CAMKMT	DND1
FNBP1	TRMT12	ZNF91		LINC01278		IFRD1		CASD1	MED13
TIMM23	SNPH	SCOC		LRP8-DT		COL8A1		PIGW	ELL2
GOLT1B	BCRP3	FAM169A		UBE2D2		TDRG1		ARL3	HMGN3
RSAD1	IGHV7-81	DCLK1		MICB		MSR1		BANF2	RELL1
PHF21A	ADPRHL1	MMADHC		FLCN		DDB2		ELK4	SOX21-AS1
TBC1D20	H3C7	STRBP		FAM151A		APOLD1		LINC00910	PTPRK
LINC02912	TPTE2P6	PRPF39		DCP1A		CARS1		INHBA	NR2E1
INTS2	VGLL4	RAB9B		CGGBP1		PROSER3		PCCB	PSMC1
DNAJC7	HCG22	MICU2		RPF2		TLE4		MS4A3	TVP23B
PSMA3-AS1	PAFAH2	GNAL		FBXO11		NEK4		C1RL	RPL35
MARCHF1	IRAK4	SPHKAP		DIDO1		HSDL1		ZNF22	TAF1D
LINC01792	LOC645188	TDP2		MMP10		MSANTD2		PC	VPS37A
