14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
INTS2	VGLL4	DCLK1	MAGOH2P	ZNF57	SYT16	MSR1	LILRA4	PCCB	PSMC1
DNAJC7	HCG22	MMADHC	ANKS1B	ZNF492	FAM241B	DDB2	LINC02844	MS4A3	TVP23B
PSMA3-AS1	PAFAH2	STRBP	PTK2	SH3KBP1	GABRB1	APOLD1	OFD1	C1RL	RPL35
MARCHF1	IRAK4	PRPF39	ZNF419	FRAT2	GABRB3	CARS1	TTF1	ZNF22	TAF1D
LINC01792	LOC645188	RAB9B	TRIM73	UBE2D3	ARPC5L	PROSER3	RFX5	PC	VPS37A
GUSBP11	LOC101927450	MICU2	ACTA2-AS1	LOC105369228	DPY19L1P1	TLE4	TICAM2	PPME1	RBM39
CDKN2AIPNL	SPINK1	GNAL	SNRPN	TMEM273	COX7B	NEK4	LINC01887	COP1	ANKMY2
RSPH10B2	ALMS1P1	SPHKAP	S100A13	FANCL	GDA	HSDL1	TOX4	LINC00550	SBDSP1
CSNK2A1	SNRNP40	TDP2	SNX30	KANSL1-AS1	GOT2	MSANTD2	SMC5	SEC23IP	SEC31A
SOX2-OT	GPC1-AS1	KLHDC2	SERP2	LINC01278	RTN1	ABHD17B	PGBD4	POSTN	LOC100506076
C5AR1	AP3M1	TTC7B	ARHGAP21	TBPL1	REPS1	CNOT6	ZNF621	LOC729291	SEPTIN7P13
VAMP7	STIP1	CSRNP2	GOLM2	LRP8-DT	CISD2	EP300	PCDHAC1	MAEA	FRG1JP
SLCO1C1	NTRK1	ICE1	PURB	P4HA1	RPL15	ZNF264	CBR3-AS1	CPA4	KLHL3
MIR155HG	WDR83OS	MFSD14A	OSBPL9	UBE2D2	UBE2R2	ISG20L2	BHLHE40	C18orf21	CLIP4
TBPL1	ZBTB12	DLD	SRSF9	MICB	MTMR7	SNX33	TRPS1	YBX2	PSMD14
TESHL	MYH16	GPRASP3	PMS2P5	FLCN	LINGO2	DPH3	ZNF131	HK2	BOLA2
BBS9	KRTAP3-3	SMIM13	NGDN	FAM151A	ZWILCH	TAF12	LOC105372547	LINC02941	JMJD1C
DPY19L3	TTTY9A	LRRTM4	ALG5	DCP1A	SESTD1	LYPD1	SRP19	MCM2	PRUNE2
ZNF829	ADAM29	COPS2	NOP53	SAMTOR	CDR2	CENPU	ZXDC	TENT5B	RPS29
ARNT	MGC15885	ENOPH1	PSMA4	CGGBP1	DACT1	IFIT1	OR5P3	DOCK11	LOC101927468
ZNF814	TBX18	TSNAX	TAF1D	RPF2	TSPYL1	RBPJ	NT5C2	SCPEP1	CTSH
GALC	CCDST	CCNH	RAPGEF5	FBXO11	STX12	CHRNA5	ARRDC4	SEC22B	GRIK3
KLHL42	WASIR2	DYNLL1	EXOSC10	DIDO1	RUSC1	PRDX1	AKIRIN1	MSL2	HAUS3
OPALIN	HSP90AB1	IARS1	RPL23A	MMP10	COX5A	GOLGA7B	ALDH8A1	LEFTY2	SEPHS1
FAM107B	DRAP1	SYT13	MYO1D	OGT	KIF2A	NCAPG	ESRRG	LOC100507053	SLC47A1
ZNF793	HSD17B2	KIAA1549L	C9orf78	RAB9B	PPIL3	MLX	C1orf216	CFAP184	ALB
CCT6P3	LINC02466	ZYG11B	LOC100506076	LATS2	FBXO21	LIN7A	ANKH	VPS13B-DT	NAA20
LARP6	LOC105371622	GABRA5	DENND4A	MAGEB18	MRPL48	ZBTB38	MTRF1L	ADGRG6	WHAMMP2
ERO1A	GADL1	PNMA1	CHST6	ZNF252P-AS1	FAM171B	INTS8	MIOS-DT	GDE1	PLAAT1
SH3D19	SUPV3L1	SLU7	EIF5B	BCL2L11	DKK3	PLPP1	NXT1	H2BW4P	ESD
RMC1	SSR4	RNF11	TMEM129	PLCD1	UBE2V2	CABP7	CNST	GOT2	RPS13
ECM2	CD180	YPEL5	FNTA	CRY1	CYLD	SASS6	BCKDHB	RNF217-AS1	HSPBAP1
ASTE1	RPL18	RNFT2	LOC100506405	OR8D2	STXBP5L	ECPAS	FBXO32	FAM209B	SEPTIN8
RNF39	NOVA2	ENO2	HACL1	LOC101928371	UAP1	DONSON	NR2C2	ZNF383	RBPMS
