"geneID","Promedio"
"ANKRD54",1.21534633121748e-05
"ANKRD55",1.27322688815961e-06
"ANKRD6",6.72250202007466e-06
"ANKRD65",4.2663611868143e-05
"ANKRD7",1.15937061068242e-06
"ANKRD9",9.13218149200805e-05
"ANKS1A",2.67089904909452e-05
"ANKS1B",0.000303695478040872
"ANKS3",9.69607016368464e-06
"ANKS6",2.35097602149467e-05
"ANKUB1",4.47133280670902e-06
"ANKZF1",2.582592024185e-05
"ANLN",0.000148795339832611
"ANO1",7.65028549001917e-06
"ANO10",6.3531366960326e-05
"ANO2",6.36832224137589e-06
"ANO3",1.82718825029501e-05
"ANO4",9.09182409820299e-06
"ANO5",5.38429662386129e-06
"ANO6",5.00827826379325e-05
"ANO7",2.22848466964881e-06
"ANO8",5.02272924130366e-05
"ANO9",1.19161562176362e-05
"ANOS1",4.28516927994958e-05
"ANP32A",0.000100906430512195
"ANP32B",0.00170855080832927
"ANP32D",1.49892888927212e-06
"ANP32E",5.292363619681e-05
"ANPEP",8.75913701759345e-06
"ANTKMT",1.24015649439818e-05
"ANTXR1",4.27863663498347e-05
"ANTXR2",1.67708635937858e-05
"ANXA1",4.79340299491001e-06
"ANXA10",1.51542455695887e-06
"ANXA11",9.07540099857612e-05
"ANXA13",1.34053787225925e-06
"ANXA2",5.15000442438031e-05
"ANXA2R-AS1",3.07331705062214e-06
"ANXA2R-OT1",1.56516294825412e-05
"ANXA3",1.30103742347142e-06
"ANXA4",5.54848815897586e-05
"ANXA5",8.11292416432116e-06
"ANXA6",1.16372617016396e-05
"ANXA7",0.000104745484203549
"ANXA8",3.90914856230481e-05
"ANXA9",1.76591009650092e-05
"AOAH",1.72254379882148e-05
"AOC1",3.96009607661052e-06
"AOC2",2.11225434235001e-06
"AOC3",3.661982021984e-06
"AOPEP",3.48997388336719e-05
"AOX1",4.09219107498659e-06
"AP1AR",3.46328513164397e-05
"AP1B1",2.07982485282836e-05
"AP1G1",0.00025854386467423
"AP1G2",0.000142388937716185
"AP1G2-AS1",1.79362789417006e-05
"AP1M1",6.57223880073967e-05
"AP1M2",4.68445202367873e-06
"AP1S1",7.30742384453285e-05
"AP1S2",0.000139732132612356
"AP1S3",1.09843463170977e-05
"AP2A1",6.68701278657942e-05
"AP2A2",4.79840065561749e-05
"AP2B1",4.17449850367948e-05
"AP2M1",3.55233977482298e-05
"AP2S1",4.0333418704518e-05
"AP3B1",2.80685984166309e-05
"AP3B2",2.89641791453598e-05
"AP3D1",7.21672434555317e-05
"AP3M1",2.08397463543173e-05
"AP3M2",5.80504691027455e-06
"AP3S1",0.000111864046689086
"AP3S2",3.07519123739742e-05
"AP4B1",7.50588540901055e-06
"AP4E1",2.77184786350398e-05
"AP4M1",5.62832962448213e-06
"AP4S1",2.30443305719511e-05
"AP5B1",3.19220433425169e-06
"AP5M1",2.44144471197094e-05
"AP5S1",1.40666738493887e-05
"AP5Z1",7.18305745702467e-05
"APAF1",1.70782933556386e-05
"APBA1",0.000109264331423214
"APBA2",0.000112219302219634
"APBA3",2.5565310018695e-05
"APBB1",1.16009929630584e-05
"APBB1IP",2.79031479732793e-05
"APBB2",0.000334236562917921
"APBB3",1.98335514471785e-06
"APC",0.000175877652467054
